,Image Path,Pose,Facial Emotion,Gesture,Object,Social
0,cyberbullying/136.thumbs-down-22208687.jpg,no,neutral ,no,no,no
1,cyberbullying/45.Ar1WBa3CIAMq_kE.png,yes,neutral,loser symbol,no,no
2,cyberbullying/nosseAnnonated_554.JPEG,no,no,no,noose,no
3,cyberbullying/13.500_F_249495816_JOapi5KrF7v22AmHJVRZqcZeQly4L6uU.jpg,yes,neutral,no,gun,no
4,cyberbullying/83.700-00748042en_Masterfile.jpg,yes,neutral,no,gun,no
5,cyberbullying/middle_finger_middle_finger_149.jpg,no,no,middle finger,no,no
6,cyberbullying/335.beautiful-woman-holds-38-special-revolver-BMJB00.jpg,no,neutral,no,gun,no
7,cyberbullying/59.gun-misfire-at-shooting-range.jpg,yes,neutral,no,gun,no
8,cyberbullying/183.1.jpg,yes,neutral,no,gun,no
9,cyberbullying/451.depositphotos_4833239-stock-photo-middle-finger-up.jpg,yes,neutral,middle finger,no,no
10,cyberbullying/62.sig-x5legion-range.jpg,yes,neutral,no,gun,no
11,cyberbullying/middle_finger_middle_finger_315.jpg,yes,neutral,middle finger,no,no
12,cyberbullying/nosseAnnonated_561.JPEG,no,no,no,noose,no
13,cyberbullying/14.263574700.jpg,yes,neutral,finger gun,no,no
14,cyberbullying/middle_finger_middle_finger_364.jpg,yes,joy,no,no,no
15,cyberbullying/32.13-hours-2.jpg,yes,neutral,no,gun,no
16,cyberbullying/117.middle-finger-photo-audrey-hepburn-Favim.com-6302485.jpg,yes,neutral,middle finger,no,no
17,cyberbullying/25.tumblr_poqg8lbtmc1wxmy7o_1280.jpg,yes,neutral,middle finger,no,no
18,cyberbullying/223.jknf2.jpg,yes,neutral ,no,knife,no
19,cyberbullying/N04_2444164875.jpg,yes,anger,middle finger,no,no
20,cyberbullying/209.jesy-nelson-1516271964-view-0.png,yes,neutral,middle finger,no,no
21,cyberbullying/61.U3FKPRKOC5E6ZLXVJVXAV74FWI.jpg,yes,neutral,d,d,d
22,cyberbullying/11.shooter_s1_e6_bob_13_1920x1080.jpg,yes,neutral,no,gun,no
23,cyberbullying/621.Republic-Forge_Mastison_rf_006.jpg,yes,neutral,no,gun,no
24,cyberbullying/152.a7f1711a779bcd8df6effc894be18274404e3c67_hq.jpg,yes,joy,middle finger,no,no
25,cyberbullying/middle_finger_middle_finger_607.jpg,yes,neutral,middle finger,no,no
26,cyberbullying/274.fashion-glamor-stylish-swag-young-woman-model-with-perfect-sunbathed-body-with-red-lips-show-middle-finger-fuck-you-off-sign-on-white-background.jpg,yes,neutral,middle finger,no,no
27,cyberbullying/169.woman-holding-a-gun-in-her-hand-model-released-X02A5C.jpg,yes,neutral,no,gun,no
28,cyberbullying/292.disappointed-businesswoman-in-christmas-hat-stock-image-988794.jpg,yes,neutral,thumbs down,no,no
29,cyberbullying/529.Hater.jpg,yes,sadness,middle finger,no,no
30,cyberbullying/7.tumblr_inline_olrq3w86EB1rc47u4_540.jpg,yes,neutral,middle finger,no,no
31,cyberbullying/loser_sign_loser_406.jpg,yes,contempt ,loser symbol,no,no
32,cyberbullying/132.372d81e4a66f6f591734195bac7aabe1--the-next-knives.jpg,yes,neutral,no,knife,no
33,cyberbullying/198.protect.jpg,yes,neutral ,no,gun,no
34,cyberbullying/68.peaky-blinders-1566768238.png,yes,neutral,no,gun,no
35,cyberbullying/159.article-laser-edc.jpg,yes,neutral,no,gun,no
36,cyberbullying/loser_sign_loser_087.jpg,yes,anger,loser symbol,no,no
37,cyberbullying/10.anti-lgbt-flag-emoji.jpg,no,no,no,no,anti-lgbtq
38,cyberbullying/88.esy-034731555.jpg,yes,joy,finger gun,no,no
39,cyberbullying/414.crash-pic-2.jpg,yes,anger,no,gun,no
40,cyberbullying/thumbs_down_thumbsdown_266.jpg,yes,neutral,thumbs down,no,no
41,cyberbullying/54.MZWXKXX7TOY5SOYIWZ355HEJRE.jpg,yes,neutral,no,gun,no
42,cyberbullying/131.studio-shot-of-woman-giving-thumbs-down-gesture-F8N8BT.jpg,yes,neutral,thumbs down,no,no
43,cyberbullying/middle_finger_middle_finger_621.jpg,yes,neutral,middle finger,no,no
44,cyberbullying/379.Capture-5-1024x541.png,yes,contempt,no,knife,no
45,cyberbullying/399.stock-photo-woman-shows-thumb-down-gray-background-1196778814.jpg,yes,neutral,thumbs down,d,d
46,cyberbullying/92.woman-holding-a-pistol-safely-picture_csp4945191.jpg,no,neutral,d,d,d
47,cyberbullying/fingerGunAnnotated_562.JPEG,yes,neutral,finger gun,no,no
48,cyberbullying/121.depositphotos_265373616-stock-photo-selective-focus-criminal-aiming-gun.jpg,yes,neutral,no,gun,no
49,cyberbullying/100.pistol-reload-technique.jpg,yes,neutral,no,gun,no
50,cyberbullying/91.young-man-giving-the-finger-picture_gg4204848.jpg,yes,neutral,middle finger,no,no
51,cyberbullying/nosseAnnonated_310.JPEG,yes,anger,no,"noose, knife",no
52,cyberbullying/9.depositphotos_247341372-stock-photo-woman-noose-neck-dark-background.jpg,yes,sadness,no,noose,no
53,cyberbullying/52.inline_image_preview.jpg,yes,neutral,no,no,no
54,cyberbullying/loser_sign_loser_280.png,yes,neutral,loser symbol,no,no
55,cyberbullying/loser_sign_loser_017.jpg,yes,joy,loser symbol,no,no
56,cyberbullying/269.Sad-Business-Women-Showing-Her-Thumbs-Down-1567162.jpg,yes,neutral,thumbs down,no,no
57,cyberbullying/thumbs_down_thumbsdown_224.jpg,yes,neutral,thumbs down,no,no
58,cyberbullying/middle_finger_middle_finger_341.jpg,yes,neutral,middle finger,no,no
59,cyberbullying/N00_2432436577.jpg,yes,no,middle finger,no,no
60,cyberbullying/thumbs_down_thumbsdown_103.jpg,yes,sadness,thumbs down,no,no
61,cyberbullying/18.olegvolk7779.jpg,yes ,neutral,no,gun,no
62,cyberbullying/N06_1524926957.jpg,yes,neutral,loser symbol,no,no
63,cyberbullying/thumbs_down_thumbsdown_054.jpg,yes,neutral,thumbs down,no,no
64,cyberbullying/middle_finger_middle_finger_035.jpg,yes,hoy,d,d,d
65,cyberbullying/loser_sign_loser_070.jpg,yes,neutral,loser symbol,no,n
66,cyberbullying/thumbs_down_thumbsdown_258.jpg,yes,neutral,thumbs down,no,no
67,cyberbullying/middle_finger_middle_finger_087.jpg,no,neutral,middle finger,no,no
68,cyberbullying/gun_in_hand_gun_024.jpg,yes,neutral,no,gun,no
69,cyberbullying/245.26294935_324760068037648_3967833063131447296_n.jpg,yes,neutral,middle finger,no,no
70,cyberbullying/68.268185.jpg,yes,neutral,no,gun,no
71,cyberbullying/57.69235956_505237833646067_2852771311278384928_n.jpg,yes,neutral,middle finger,no,no
72,cyberbullying/77.541_0414.jpg,yes,neutral,no,gun,no
73,cyberbullying/45489719@N04_4212201028.jpg,yes,joy,loser symbol,no,no
74,cyberbullying/346.at_gun_point_by_trayj_d783ts5-350t.jpg,yes,neutral ,no,gun,no
75,cyberbullying/thumbs_down_thumbsdown_082.jpg,yes,joy,thumbs down,no,no
76,cyberbullying/thumbs_down_thumbsdown_318.jpg,yes,disgust,thumbs down,no,no
77,cyberbullying/gun_in_hand_gun_395.jpg,yes,neutral,no,gun,no
78,cyberbullying/27.RBEIBH2EBJRP25R2X7P6NTYHWA.png,yes,neutral,no,gun,no
79,cyberbullying/75.businessman-showing-a-thumbs-down-sign-stock-photography__x10069685.jpg,yes,neutral,no,no,no
80,cyberbullying/thumbs_down_thumbsdown_509.png,yes,neutral,thumbs down,no,no
81,cyberbullying/248.11514970-3x2-940x627.jpg,yes,neutral,finger gun,no,no
82,cyberbullying/576.Walther-CCP-PPK-8.jpg,yes,neutral ,no,gun,no
83,cyberbullying/middle_finger_middle_finger_541.jpg,yes,neutrak,f,f,f
84,"cyberbullying/19.3466ab48-23f2-497d-93a0-f0a7ce4ed43e._SR300,300_.jpg",yes,neutral,no,knife,no
85,cyberbullying/65.depositphotos_110965704-stock-photo-young-japanese-woman-with-thumbs.jpg,yes,sadness,thumbs down,no,no
86,cyberbullying/101.young-adult-man-standing-over-white-brick-wall-angry_cg2p50667929c_th.jpg,yes,neutral,thumbs down,no,no
87,cyberbullying/532.anti-rainbow-flag-750x_0.jpg,no,no,no,no,anti-lgbtq
88,cyberbullying/38.shutterstock_511896757-760x475@2x.jpg,yes,joy,no,gun,no
89,cyberbullying/nosseAnnonated_263.JPEG,no,no,no,noose,no
90,cyberbullying/434.zon-550343.jpg,yes,neutral,thumbs down,no,no
91,cyberbullying/72.240_F_183078222_i9aBec7fhKY3xDpPhcOqm3xdZ4PxT3V1.jpg,yes,neutral,middle finger,no,no
92,cyberbullying/10.the-best-funniest-photos-kids-middle-finger-Little-girl.jpg,yes,neutral,middle finger,no,no
93,cyberbullying/71.37923062-mad-business-man-showing-the-middle-finger-on-white-background-with-copy-space.jpg,yes,neutral,middle finger,no,no
94,cyberbullying/nosseAnnonated_621.JPEG,yes,neutral,no,noose,no
95,cyberbullying/255.depositphotos_39427517-stock-photo-woman-showing-thumbs-down-gesture.jpg,yes,joy,thumbs down,no,no
96,cyberbullying/nosseAnnonated_393.JPEG,no,no,no,noose,no
97,cyberbullying/thumbs_down_thumbsdown_298.jpg,yes,disgust,thumbs down,no,no
98,cyberbullying/269.500_F_259170597_HOczhokDrjET9t5wmSNG1RP9gIYSmEgu.jpg,yes,neutral,thumbs down,no,no
99,cyberbullying/5.businessman-point-his-handgun-to-camera-wallpaper-background-BERCG4.jpg,yes,neutral,no,gun,no
